date,total_assets
2002-11-30,
2002-12-31,724718.0
2003-01-31,721326.0
2003-02-28,723651.0
2003-03-31,736926.0
2003-04-30,738358.0
2003-05-31,738712.0
2003-06-30,741656.0
2003-07-31,740217.0
2003-08-31,743207.0
2003-09-30,747068.0
2003-10-31,747801.0
2003-11-30,759810.0
2003-12-31,759938.0
2004-01-31,753644.0
2004-02-29,755538.0
2004-03-31,762182.0
2004-04-30,762914.0
2004-05-31,770590.0
2004-06-30,776095.0
2004-07-31,771096.0
2004-08-31,786291.0
2004-09-30,788388.0
2004-10-31,798768.0
2004-11-30,808973.0
2004-12-31,807095.0
2005-01-31,800557.0
2005-02-28,802472.0
2005-03-31,803656.0
2005-04-30,805624.0
2005-05-31,812643.0
2005-06-30,815370.0
2005-07-31,815142.0
2005-08-31,820697.0
2005-09-30,819207.0
2005-10-31,826202.0
2005-11-30,840054.0
2005-12-31,836539.0
2006-01-31,833804.0
2006-02-28,838656.0
2006-03-31,838094.0
2006-04-30,842451.0
2006-05-31,846038.0
2006-06-30,846874.0
2006-07-31,844411.0
2006-08-31,844411.0
2006-09-30,849621.0
2006-10-31,858303.0
2006-11-30,862757.0
2006-12-31,861259.0
2007-01-31,867225.0
2007-02-28,868371.0
2007-03-31,867195.0
2007-04-30,875321.0
2007-05-31,867222.0
2007-06-30,870706.0
2007-07-31,867259.0
2007-08-31,878776.0
2007-09-30,877941.0
2007-10-31,886427.0
2007-11-30,885790.0
2007-12-31,894808.0
2008-01-31,881700.0
2008-02-29,890096.0
2008-03-31,886511.0
2008-04-30,892986.0
2008-05-31,895392.0
2008-06-30,905993.0
2008-07-31,906234.0
2008-08-31,1009474.0
2008-09-30,1727615.0
2008-10-31,2145078.0
2008-11-30,2222737.0
2008-12-31,2033837.0
2009-01-31,1881629.0
2009-02-28,1984832.0
2009-03-31,2123506.0
2009-04-30,2134464.0
2009-05-31,2057023.0
2009-06-30,2022073.0
2009-07-31,2034911.0
2009-08-31,2122220.0
2009-09-30,2173382.0
2009-10-31,2178796.0
2009-11-30,2219218.0
2009-12-31,2256424.0
2010-01-31,2267425.0
2010-02-28,2298183.0
2010-03-31,2328737.0
2010-04-30,2336800.0
2010-05-31,2337482.0
2010-06-30,2332589.0
2010-07-31,2317172.0
2010-08-31,2301948.0
2010-09-30,2304649.0
2010-10-31,2318470.0
2010-11-30,2392692.0
2010-12-31,2443222.0
2011-01-31,2502997.0
2011-02-28,2585821.0
2011-03-31,2672713.0
2011-04-30,2749065.0
2011-05-31,2829826.0
2011-06-30,2870764.0
2011-07-31,2862173.0
2011-08-31,2857717.0
2011-09-30,2854650.0
2011-10-31,2825922.0
2011-11-30,2891340.0
2011-12-31,2913952.0
2012-01-31,2929930.0
2012-02-29,2887273.0
2012-03-31,2868677.0
2012-04-30,2856313.0
2012-05-31,2863871.0
2012-06-30,2858675.0
2012-07-31,2835817.0
2012-08-31,2817912.0
2012-09-30,2826231.0
2012-10-31,2857640.0
2012-11-30,2901150.0
2012-12-31,2966026.0
2013-01-31,3068738.0
2013-02-28,3170836.0
2013-03-31,3264238.0
2013-04-30,3355984.0
2013-05-31,3440057.0
2013-06-30,3536214.0
2013-07-31,3630452.0
2013-08-31,3693107.0
2013-09-30,3800416.0
2013-10-31,3897886.0
2013-11-30,3991805.0
2013-12-31,4064681.0
2014-01-31,4134489.0
2014-02-28,4200544.0
2014-03-31,4271397.0
2014-04-30,4322502.0
2014-05-31,4352084.0
2014-06-30,4395203.0
2014-07-31,4417174.0
2014-08-31,4436408.0
2014-09-30,4469679.0
2014-10-31,4488543.0
2014-11-30,4496885.0
2014-12-31,4507150.0
2015-01-31,4496402.0
2015-02-28,4488338.0
2015-03-31,4482356.0
2015-04-30,4479564.0
2015-05-31,4479059.0
2015-06-30,4488001.0
2015-07-31,4484473.0
2015-08-31,4484701.0
2015-09-30,4495400.0
2015-10-31,4486381.0
2015-11-30,4486242.0
2015-12-31,4489873.0
2016-01-31,4485800.0
2016-02-29,4484320.0
2016-03-31,4487149.0
2016-04-30,4472633.0
2016-05-31,4469249.0
2016-06-30,4472070.0
2016-07-31,4466789.0
2016-08-31,4466516.0
2016-09-30,4459703.0
2016-10-31,4454779.0
2016-11-30,4460033.0
2016-12-31,4454802.0
2017-01-31,4458374.0
2017-02-28,4467058.0
2017-03-31,4477135.0
2017-04-30,4468516.0
2017-05-31,4469079.0
2017-06-30,4469040.0
2017-07-31,4462999.0
2017-08-31,4459721.0
2017-09-30,4462669.0
2017-10-31,4450387.0
2017-11-30,4446506.0
2017-12-31,4437893.0
2018-01-31,4415167.0
2018-02-28,4399194.0
2018-03-31,4382144.0
2018-04-30,4343353.0
2018-05-31,4316371.0
2018-06-30,4287565.0
2018-07-31,4238068.0
2018-08-31,4205069.0
2018-09-30,4167971.0
2018-10-31,4122799.0
2018-11-30,4083567.0
2018-12-31,4050343.0
2019-01-31,4002698.0
2019-02-28,3964765.0
2019-03-31,3933098.0
2019-04-30,3871707.0
2019-05-31,3842108.0
2019-06-30,3803777.0
2019-07-31,3773093.0
2019-08-31,3808398.0
2019-09-30,3970156.0
2019-10-31,4042612.0
2019-11-30,4115958.0
2019-12-31,4159312.0
2020-01-31,4169901.0
2020-02-29,4618977.0
2020-03-31,6298340.0
2020-04-30,6947555.0
2020-05-31,7127786.0
2020-06-30,6960429.0
2020-07-31,6975892.0
2020-08-31,7048374.0
2020-09-30,7137412.0
2020-10-31,7198114.0
2020-11-30,7319011.0
2020-12-31,7372161.0
2021-01-31,7500084.0
2021-02-28,7647908.0
2021-03-31,7775974.0
2021-04-30,7866893.0
2021-05-31,8026555.0
2021-06-30,8190357.0
2021-07-31,8291893.0
2021-08-31,8418612.0
2021-09-30,8516525.0
2021-10-31,8648682.0
2021-11-30,8723909.0
2021-12-31,8820580.0
2022-01-31,8897596.0
2022-02-28,8933825.0
2022-03-31,8949532.0
2022-04-30,8935540.0
2022-05-31,8922725.0
2022-06-30,8894234.0
2022-07-31,8856210.0
2022-08-31,8816882.0
2022-09-30,8746259.0
2022-10-31,8637468.0
2022-11-30,8570432.0
2022-12-31,8493903.0
2023-01-31,8408984.0
2023-02-28,8552199.0
2023-03-31,8600803.0
2023-04-30,8457176.0
2023-05-31,8370156.0
2023-06-30,8278283.0
2023-07-31,
